"ntd_id","Agency","City","State","max_organization_type","max_reporter_type","report_year","max_uace_code","max_uza_name","max_primary_uza_population","max_agency_voms","sum_vehicle_operations","sum_vehicle_maintenance","sum_facility_maintenance","sum_general_administration","sum_reduced_reporter_expenses","Total","sum_separate_report_amount"
"10134","Penquis Community Action Program, dba: Penquis Transportation Services","Bangor","ME","Private-Non-Profit Corporation","Reduced Reporter","2024","04951","Bangor, ME","61539","99","0","0","0","0","17028246","17028246","0"
"10137","Advance Transit, Inc. NH","White River Junction","VT","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"22","0","0","0","0","6844704","6844704","0"
"10140","Estuary Transit District, dba: River Valley Transit","Middletown","CT","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","37243","Hartford, CT","977158","23","0","0","0","0","6833936","6833936","0"
"10142","Aroostook Regional Transportation Systems, Inc., dba: Aroostook Regional Transportation Systems","Presque Isle","ME","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"23","0","0","0","0","2622984","2622984","0"
"10143","Tri-Valley Transit Inc","Middlebury","VT","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"81","0","0","0","0","7091914","7091914","0"
"10144","Southeast Vermont Transit, Inc","Wilmington","VT","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"80","0","0","0","0","8350834","8350834","0"
"10145","Martha's Vineyard Transit Authority","Edgartown","MA","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"33","0","0","0","0","8374914","8374914","0"
"10148","Rural Community Transportation","Lyndonville","VT","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"68","0","0","0","0","6127669","6127669","0"
"10149","Windham Region Transit District","Mansfield Center","CT","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","64135","Norwich--New London, CT","167432","26","0","0","0","0","5445975","5445975","0"
"10151","Green Mountain Community Network","Bennington","VT","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"32","0","0","0","0","2498933","2498933","0"
"10153","Town of Cranberry Isles","Islesford","ME","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","0","0","104372","104372","0"
"10154","Marble Valley Regional Transit District","Rutland","VT","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"65","0","0","0","0","6636967","6636967","0"
"10155","Kennebec Valley Community Action Program","Waterville","ME","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"50","0","0","0","0","12442927","12442927","0"
"10156","Northeastern Connecticut Transit District","Dayville","CT","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"16","0","0","0","0","826776","826776","0"
"10159","VNA Home Healthcare, Hospice & Community Service","Keene","NH","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"6","0","0","0","0","501874","501874","0"
"10161","Belknap-Merrimack CAP/Concord Area Transit, dba: Community Action Program Belknap-Merrimack Countie","Concord","NH","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"12","0","0","0","0","1814178","1814178","0"
"10162","Nantucket Regional Transit Authority","Nantucket","MA","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"17","0","0","0","0","4614033","4614033","0"
"10167","Isle au Haut Boat Services","Stonington","ME","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","0","0","0","0","970075","970075","0"
"10169","Waldo Community Action Partners","Belfast","ME","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"40","0","0","0","0","1256518","1256518","0"
