"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","modecd","mode_name","typeofservicecd","mode_voms","form_type","guideway","guideway_questionable","stations","stations_questionable","administrative_buildings","administrative_buildings_1","maintenance_buildings","maintenance_buildings_1","passenger_vehicles","passenger_vehicles_1","other_vehicles","other_vehicles_questionable","fare_collection_equipment","fare_collection_equipment_1","communication_information","communication_information_1","other","other_questionable","reduced_reporter","reduced_reporter_questionable","total","total_questionable"
"Shortline Transit LLC, dba: Short Line","Mahwah","NJ","20126","Private-For-Profit Corporation","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","76","CB","Commuter Bus","DO","76","Uses of Capital (F-20) - Expansion of Service","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"Shortline Transit LLC, dba: Short Line","Mahwah","NJ","20126","Private-For-Profit Corporation","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","76","MB","Bus","PT",,"Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"Shortline Transit LLC, dba: Short Line","Mahwah","NJ","20126","Private-For-Profit Corporation","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","76","MB","Bus","PT",,"Uses of Capital (F-20) - Expansion of Service","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"Suburban Transit Lines LLC, dba: Suburban Transit","New Brunswick","NJ","20128","Private-For-Profit Corporation","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","50","CB","Commuter Bus","DO","50","Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"Suburban Transit Lines LLC, dba: Suburban Transit","New Brunswick","NJ","20128","Private-For-Profit Corporation","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","50","CB","Commuter Bus","DO","50","Uses of Capital (F-20) - Expansion of Service","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"Town of Newburgh, dba: TON Dial -A- Bus","Newburgh","NY","20143","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","71803","Poughkeepsie--Newburgh, NY","314766","3","DR","Demand Response","DO","3","Reduced Reporting","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"Tompkins Consolidated Area Transit","Ithaca","NY","20145","Private-Non-Profit Corporation","Full Reporter","2024","41914","Ithaca, NY","59102","44","DR","Demand Response","PT","17","Uses of Capital (F-20) - Expansion of Service","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"Tompkins Consolidated Area Transit","Ithaca","NY","20145","Private-Non-Profit Corporation","Full Reporter","2024","41914","Ithaca, NY","59102","44","DR","Demand Response","PT","17","Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"Tompkins Consolidated Area Transit","Ithaca","NY","20145","Private-Non-Profit Corporation","Full Reporter","2024","41914","Ithaca, NY","59102","44","MB","Bus","DO","27","Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service","0",,"0",,"52146",,"14742",,"42798",,"79181",,"387943",,"179805",,"0",,"0",,"756615",
"Tompkins Consolidated Area Transit","Ithaca","NY","20145","Private-Non-Profit Corporation","Full Reporter","2024","41914","Ithaca, NY","59102","44","MB","Bus","DO","27","Uses of Capital (F-20) - Expansion of Service","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"Newburgh Beacon Bus Corporation","New Windsor","NY","20148","Private Provider Reporting on Behalf of a Public Entity","Reduced Reporter","2024","71803","Poughkeepsie--Newburgh, NY","314766","7","MB","Bus","DO","7","Reduced Reporting","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"Rockland Coaches, Inc.","Paramus","NJ","20149","Private-For-Profit Corporation","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","33","CB","Commuter Bus","DO","33","Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service","0",,"0",,"10142",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"10142",
"Rockland Coaches, Inc.","Paramus","NJ","20149","Private-For-Profit Corporation","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","33","CB","Commuter Bus","DO","33","Uses of Capital (F-20) - Expansion of Service","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"Community Transit Lines, Inc., dba: Community Transit","Paramus","NJ","20160","Private-For-Profit Corporation","Reduced Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","13","CB","Commuter Bus","DO","13","Reduced Reporting","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"Lakeland Bus Lines, Inc.","Dover","NJ","20163","Private-For-Profit Corporation","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","40","CB","Commuter Bus","DO","40","Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service","0",,"0",,"0",,"0",,"0",,"50000",,"0",,"0",,"0",,"0",,"50000",
"Lakeland Bus Lines, Inc.","Dover","NJ","20163","Private-For-Profit Corporation","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","40","CB","Commuter Bus","DO","40","Uses of Capital (F-20) - Expansion of Service","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"OBC Lines LLC, dba: OBC Lines","Paramus","NJ","20165","Private-For-Profit Corporation","Reduced Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","12","CB","Commuter Bus","DO","12","Reduced Reporting","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"Trans-Bridge Lines, Inc.","Bethlehem","PA","20169","Private-For-Profit Corporation","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","28","CB","Commuter Bus","DO","28","Uses of Capital (F-20) - Expansion of Service","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"Trans-Bridge Lines, Inc.","Bethlehem","PA","20169","Private-For-Profit Corporation","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","28","CB","Commuter Bus","DO","28","Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service","0",,"0",,"0",,"0",,"1704640",,"0",,"0",,"0",,"0",,"0",,"1704640",
"Private Transportation Corporation","Brooklyn","NY","20175","Private-For-Profit Corporation","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","6","MB","Bus","PT","6","Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"Private Transportation Corporation","Brooklyn","NY","20175","Private-For-Profit Corporation","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","6","MB","Bus","PT","6","Uses of Capital (F-20) - Expansion of Service","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"Kaser Bus Service","Monsey","NY","20176","Private-For-Profit Corporation","Reduced Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","2","CB","Commuter Bus","PT","2","Reduced Reporting","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"Adirondack Transit Lines, Inc., dba: Adirondack Trailways","Hurley","NY","20177","Private-For-Profit Corporation","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","13","CB","Commuter Bus","DO","13","Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service","0",,"0",,"9200",,"251789",,"6401990",,"165827",,"0",,"0",,"0",,"0",,"6828806",
"Adirondack Transit Lines, Inc., dba: Adirondack Trailways","Hurley","NY","20177","Private-For-Profit Corporation","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","13","CB","Commuter Bus","DO","13","Uses of Capital (F-20) - Expansion of Service","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"Ulster County, dba: Ulster County Area Transit","Kingston","NY","20178","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","45262","Kingston, NY","50254","32","DR","Demand Response","DO","6","Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service","0",,"0",,"0",,"0",,"124122",,"0",,"0",,"0",,"0",,"0",,"124122",
